# Tetrahedron method
       -3.0653400047        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -2.8560609598        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -2.6467819148        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -2.4375028698        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -2.2282238249        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -2.0189447799        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -1.8096657349        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -1.6003866900        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -1.3911076450        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -1.1818286000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -0.9725495551        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -0.7632705101        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -0.5539914651        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -0.3447124202        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -0.1354333752        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
        0.0738456698        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
        0.2831247147        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
        0.4924037597        0.0001642413        0.0001642413        0.0000442206        0.0000442199        0.0000442199        0.0000442206
        0.7016828046        0.0006799209        0.0006799209        0.0001828599        0.0001828607        0.0001828607        0.0001828599
        0.9109618496        0.0013070210        0.0013070210        0.0003510342        0.0003510474        0.0003510474        0.0003510342
        1.1202408946        0.0020418945        0.0020418945        0.0005475059        0.0005475075        0.0005475075        0.0005475059
        1.3295199395        0.0029374674        0.0029374674        0.0007860968        0.0007860730        0.0007860730        0.0007860968
        1.5387989845        0.0039893493        0.0039893493        0.0010650596        0.0010650493        0.0010650493        0.0010650596
        1.7480780295        0.0051814921        0.0051814921        0.0013795297        0.0013795518        0.0013795518        0.0013795297
        1.9573570744        0.0065905614        0.0065905614        0.0017493626        0.0017493769        0.0017493769        0.0017493626
        2.1666361194        0.0081585560        0.0081585560        0.0021579078        0.0021578933        0.0021578933        0.0021579078
        2.3759151644        0.0098757421        0.0098757421        0.0026017362        0.0026017362        0.0026017362        0.0026017362
        2.5851942093        0.0118129101        0.0118129101        0.0030985958        0.0030985988        0.0030985988        0.0030985958
        2.7944732543        0.0139025329        0.0139025329        0.0036290922        0.0036290742        0.0036290742        0.0036290922
        3.0037522993        0.0162354580        0.0162354580        0.0042155852        0.0042155897        0.0042155897        0.0042155852
