# Tetrahedron method
       -2.6565034945        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -2.4685548683        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -2.2806062421        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -2.0926576160        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -1.9047089898        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -1.7167603636        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -1.5288117375        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -1.3408631113        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -1.1529144851        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -0.9649658590        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -0.7770172328        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -0.5890686066        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -0.4011199805        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -0.2131713543        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -0.0252227281        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
        0.1627258980        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
        0.3506745242        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
        0.5386231504        0.0000819502        0.0000819684        0.0000819684        0.0000819502        0.0000683524        0.0000683524
        0.7265717765        0.0002465381        0.0002466728        0.0002466728        0.0002465381        0.0002058804        0.0002058804
        0.9145204027        0.0004337583        0.0004338999        0.0004338999        0.0004337583        0.0003625954        0.0003625954
        1.1024690288        0.0006732460        0.0006734317        0.0006734317        0.0006732460        0.0005634768        0.0005634768
        1.2904176550        0.0009273114        0.0009277139        0.0009277139        0.0009273114        0.0007771343        0.0007771343
        1.4783662812        0.0012441006        0.0012443423        0.0012443423        0.0012441006        0.0010442160        0.0010442160
        1.6663149073        0.0015558028        0.0015567955        0.0015567955        0.0015558028        0.0013082300        0.0013082300
        1.8542635335        0.0020477511        0.0020481846        0.0020481846        0.0020477511        0.0017256396        0.0017256396
        2.0422121597        0.0024484468        0.0024492802        0.0024492802        0.0024484468        0.0020690802        0.0020690802
        2.2301607858        0.0030202441        0.0030214166        0.0030214166        0.0030202441        0.0025613347        0.0025613347
        2.4181094120        0.0035306984        0.0035320955        0.0035320955        0.0035306984        0.0030040105        0.0030040105
        2.6060580382        0.0042104145        0.0042110423        0.0042110423        0.0042104145        0.0035974458        0.0035974458
        2.7940066643        0.0049295812        0.0049317986        0.0049317986        0.0049295812        0.0042382836        0.0042382836
        2.9819552905        0.0058455798        0.0058472783        0.0058472783        0.0058455798        0.0050761683        0.0050761683
        3.1699039167        0.0077359439        0.0077379567        0.0077379567        0.0077359439        0.0070709619        0.0070709619
        3.3578525428        0.0085373950        0.0085403819        0.0085403819        0.0085373950        0.0078016239        0.0078016239
        3.5458011690        0.0093523690        0.0093557718        0.0093557718        0.0093523690        0.0085497040        0.0085497040
        3.7337497952        0.0103302738        0.0103345780        0.0103345780        0.0103302738        0.0094747408        0.0094747408
        3.9216984213        0.0112335858        0.0112361320        0.0112361320        0.0112335858        0.0103100135        0.0103100135
        4.1096470475        0.0122457408        0.0122498670        0.0122498670        0.0122457408        0.0112528470        0.0112528470
        4.2975956737        0.0133456916        0.0133490787        0.0133490787        0.0133456916        0.0122920340        0.0122920340
        4.4855442998        0.0145139363        0.0145197494        0.0145197494        0.0145139363        0.0134082647        0.0134082647
        4.6734929260        0.0156684883        0.0156759316        0.0156759316        0.0156684883        0.0145132209        0.0145132209
        4.8614415522        0.0169392993        0.0169441835        0.0169441835        0.0169392993        0.0157258896        0.0157258896
        5.0493901783        0.0182947400        0.0182989672        0.0182989672        0.0182947400        0.0170251635        0.0170251635
        5.2373388045        0.0197584567        0.0197659506        0.0197659506        0.0197584567        0.0184473768        0.0184473768
        5.4252874307        0.0213079375        0.0213162274        0.0213162274        0.0213079375        0.0199619127        0.0199619127
        5.6132360568        0.0229394808        0.0229480507        0.0229480507        0.0229394808        0.0215539638        0.0215539638
        5.8011846830        0.0247403267        0.0247447061        0.0247447061        0.0247403267        0.0232971351        0.0232971351
