# Tetrahedron method
       -3.6311620486        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -3.4322778926        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -3.2333937366        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -3.0345095806        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -2.8356254246        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -2.6367412686        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -2.4378571126        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -2.2389729567        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -2.0400888007        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -1.8412046447        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -1.6423204887        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -1.4434363327        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -1.2445521767        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -1.0456680208        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -0.8467838648        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -0.6478997088        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -0.4490155528        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -0.2501313968        0.0000303070        0.0000306964        0.0000305597        0.0000304125        0.0000304733        0.0000303796        0.0000307098        0.0000304128        0.0000609880        0.0000608914        0.0000614224        0.0000607973        0.0000613041        0.0000612009
       -0.0512472408        0.0000461785        0.0000469821        0.0000467309        0.0000464013        0.0000465159        0.0000463164        0.0000470506        0.0000464044        0.0000931302        0.0000929455        0.0000940694        0.0000927117        0.0000938109        0.0000936289
        0.1476369151        0.0000730547        0.0000744023        0.0000740245        0.0000733595        0.0000736304        0.0000732928        0.0000745561        0.0000733607        0.0001474447        0.0001471950        0.0001490995        0.0001467576        0.0001486353        0.0001483483
        0.3465210711        0.0001864073        0.0001866139        0.0001866719        0.0001851089        0.0001864580        0.0001863403        0.0001868959        0.0001851080        0.0003735311        0.0003734666        0.0003739531        0.0003732212        0.0003738268        0.0003739014
        0.5454052271        0.0005395514        0.0005383532        0.0005388362        0.0005349341        0.0005389975        0.0005394442        0.0005383010        0.0005349304        0.0010797503        0.0010799855        0.0010781238        0.0010803903        0.0010785209        0.0010789470
        0.7442893831        0.0008873971        0.0008887233        0.0008887788        0.0008790306        0.0008878346        0.0008878412        0.0008892286        0.0008790292        0.0017749079        0.0017751234        0.0017769716        0.0017743425        0.0017762406        0.0017764171
        0.9431735391        0.0013808942        0.0013802435        0.0013813142        0.0013627044        0.0013803473        0.0013813474        0.0013807670        0.0013627025        0.0027581230        0.0027593545        0.0027582323        0.0027588726        0.0027577712        0.0027590594
        1.1420576951        0.0019273647        0.0019256458        0.0019270113        0.0018940972        0.0019263497        0.0019275650        0.0019261120        0.0018941050        0.0038466839        0.0038480128        0.0038454568        0.0038479313        0.0038453899        0.0038468265
        1.3409418511        0.0025425632        0.0025420148        0.0025433558        0.0024897779        0.0025419374        0.0025432948        0.0025426177        0.0024898104        0.0050714985        0.0050730564        0.0050719237        0.0050723930        0.0050712885        0.0050728606
        1.5398260070        0.0032345037        0.0032332800        0.0032355296        0.0031538865        0.0032333906        0.0032357588        0.0032341270        0.0031538915        0.0064453366        0.0064483193        0.0064456989        0.0064472322        0.0064448382        0.0064473219
        1.7387101630        0.0040411276        0.0040396431        0.0040418526        0.0039221353        0.0040396071        0.0040424001        0.0040406800        0.0039220983        0.0080446352        0.0080477818        0.0080451222        0.0080466657        0.0080440286        0.0080468075
